Year,Site,Shannon_index,Species_richness,Simpson_index,Pielou_evenness
2005,LTER 1,1.1185273935898976,5,0.6041975308641976,0.6949801448993123
2005,LTER 2,1.0854293254583887,4,0.5915497095350357,0.782971752537135
2005,LTER 3,0.9854847511982479,3,0.5968071111111111,0.8970268777832343
2005,LTER 4,0,1,0,NA
2005,LTER 5,0.6982200279466675,4,0.3629489603024574,0.5036592858840053
2005,LTER 6,1.5849007605699252,6,0.7760478057070803,0.8845499565032293
2006,LTER 1,0.07575108500341506,2,0.02856542743121193,0.10928571467638523
2006,LTER 2,0.7251724426209417,3,0.504609375,0.6600804033423805
2006,LTER 3,0,1,0,NA
2006,LTER 4,0,0,1,-0
2006,LTER 5,0.6931471805599453,2,0.5,1
2006,LTER 6,0.8945202355256241,3,0.5609504132231404,0.8142274073869005
2007,LTER 1,0.8223690280747439,4,0.43811494720115296,0.5932138592920548
2007,LTER 2,1.4212845011319395,6,0.7149886372859345,0.7932339834343236
2007,LTER 3,1.2639715300752166,6,0.6600346020761245,0.7054359425932178
2007,LTER 4,0.7279279543055944,5,0.3752949625525803,0.45228706785257866
2007,LTER 5,0.3629566377779918,4,0.15830192422138467,0.26181787069002027
2007,LTER 6,0.8673251323821947,7,0.4115051993977802,0.4457169478268344
2008,LTER 1,1.2985571211456561,11,0.6352845059592463,0.5415403816323577
2008,LTER 2,1.3940395975568738,13,0.628786703601108,0.5434959538290917
2008,LTER 3,1.1763874883956187,8,0.5668683428055252,0.565722798557394
2008,LTER 4,0.9519452313234839,7,0.4478309327846365,0.48920307640392724
2008,LTER 5,1.4774088961589378,12,0.6838437493473313,0.5945530775914591
2008,LTER 6,1.8812716962196707,19,0.7902705692079072,0.6389236487937854
2009,LTER 1,1.32320290760226,12,0.6711842384012429,0.532496022623284
2009,LTER 2,1.6667408975943405,11,0.7521769281363493,0.6950849424083626
2009,LTER 3,0.8938447791532801,6,0.5391335704568179,0.4988642697327984
2009,LTER 4,0.767486206012037,7,0.49041663516068057,0.3944098890612348
2009,LTER 5,1.4572734614312364,8,0.7195003993035749,0.700800398675313
2009,LTER 6,1.5782269169043683,14,0.6943055555555555,0.5980267647821255
2010,LTER 1,1.6995924958040067,9,0.7806814814814815,0.7735178794807077
2010,LTER 2,1.681126029552782,9,0.7805874107349808,0.7651134285011849
2010,LTER 3,0.948818685327341,8,0.4374443752224991,0.4562853373415136
2010,LTER 4,1.3525307621055114,11,0.6372838388411046,0.5640491381957198
2010,LTER 5,1.4015958207930492,8,0.6797151319383872,0.6740251133296096
2010,LTER 6,1.4778271321475485,14,0.674793027416067,0.5599829589010851
2011,LTER 1,1.888828753895261,14,0.8013464064552449,0.7157210010934582
2011,LTER 2,1.6703258272223134,12,0.7287334593572778,0.672188561837853
